2023-06-30 10:24:38.389 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1265 ms
2023-06-30 10:24:39.299 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-06-30 10:24:39.309 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.989 seconds (process running for 4.1)
2023-06-30 10:26:15.852 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-06-30 10:32:01.777 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 20.0.1 with PID 4676 (C:\Users\Hongzhen\IdeaProjects\project1\demo\target\classes started by Hongzhen in C:\Users\Hongzhen\IdeaProjects\project1\demo)
2023-06-30 10:32:01.779 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-30 10:32:02.991 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-06-30 10:32:03.003 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-30 10:32:03.003 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-06-30 10:32:03.102 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-30 10:32:03.103 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1259 ms
2023-06-30 10:32:04.079 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-06-30 10:32:04.088 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 2.847 seconds (process running for 3.712)
2023-06-30 10:37:44.779 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-30 10:37:44.779 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-30 10:37:44.780 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-30 10:37:44.831 [http-nio-8080-exec-1] INFO  c.example.demo.controller.test1.SearchController - 测试日志输出
2023-06-30 10:37:45.022 [http-nio-8080-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-06-30 10:38:31.106 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-06-30 10:38:31.117 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
